Sensor-id,Timestamp,Sensor-id,Long,Lat,Value,geometry,index_right,Id,Nbrhood
1,2020-04-06 00:00:00,1.0,-119.96665,0.18792,28.978567984972223,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 01:00:00,1.0,-119.96665,0.18792,32.79941794464736,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 02:00:00,1.0,-119.96665,0.18792,30.556631026694443,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 03:00:00,1.0,-119.96665,0.18792,31.139871751920833,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 04:00:00,1.0,-119.96665,0.18792,32.61292349364305,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 05:00:00,1.0,-119.96665,0.18792,32.684675,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 06:00:00,1.0,-119.96665,0.18792,32.548122222222226,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 07:00:00,1.0,-119.96665,0.18792,32.00618055555556,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 08:00:00,1.0,-119.96665,0.18792,31.631066666666666,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 09:00:00,1.0,-119.96665,0.18792,31.14375,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 10:00:00,1.0,-119.96665,0.18792,30.628498611111112,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 11:00:00,1.0,-119.96665,0.18792,29.768990277777775,POINT (-119.96665 0.18792),0.0,1.0,Palace Hills
1,2020-04-06 12:00:00,1.0,-119.91725190757576,0.18230682424242423,29.820774242424243,POINT (-119.91725190757576 0.1823068242424242),1.0,2.0,Northwest
1,2020-04-06 13:00:00,1.0,-119.8653575934718,0.15566956379821958,29.362870919881306,POINT (-119.8653575934718 0.1556695637982196),13.0,14.0,Easton
1,2020-04-06 14:00:00,1.0,-119.862638,0.145292,28.68054861111111,POINT (-119.862638 0.145292),13.0,14.0,Easton
1,2020-04-06 15:00:00,1.0,-119.862638,0.145292,28.873291666666667,POINT (-119.862638 0.145292),13.0,14.0,Easton
1,2020-04-06 16:00:00,1.0,-119.862901875,0.14554680555555555,28.812962499999998,POINT (-119.862901875 0.1455468055555556),13.0,14.0,Easton
1,2020-04-06 17:00:00,1.0,-119.94221105857741,0.17025899860529986,28.411987447698746,POINT (-119.94221105857741 0.1702589986052999),0.0,1.0,Palace Hills
1,2020-04-06 18:00:00,1.0,-119.96655900000002,0.187897,28.13873472222222,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-06 19:00:00,1.0,-119.96655900000002,0.187897,28.309093055555554,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-06 20:00:00,1.0,-119.96655900000002,0.187897,28.063450000000003,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-06 21:00:00,1.0,-119.96655900000002,0.187897,27.90167638888889,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-06 22:00:00,1.0,-119.96655900000002,0.187897,27.94251388888889,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-06 23:00:00,1.0,-119.96655900000002,0.187897,29.142887617985284,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-07 00:00:00,1.0,-119.96655900000002,0.187897,28.528566666666666,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-07 01:00:00,1.0,-119.96655900000002,0.187897,28.976015277777776,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-07 02:00:00,1.0,-119.96655900000002,0.187897,29.62790434071315,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-07 03:00:00,1.0,-119.96655900000002,0.187897,29.90276666666667,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-07 04:00:00,1.0,-119.96655900000002,0.187897,30.061026388888887,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-07 05:00:00,1.0,-119.96655900000002,0.187897,30.145883333333334,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-07 06:00:00,1.0,-119.96655900000002,0.187897,30.364883333333335,POINT (-119.96655900000002 0.187897),0.0,1.0,Palace Hills
1,2020-04-07 07:00:00,1.0,-119.96303020555555,0.18775049583333336,30.395527777777776,POINT (-119.96303020555555 0.1877504958333334),0.0,1.0,Palace Hills
1,2020-04-07 08:00:00,1.0,-119.87759089592123,0.15888736990154714,29.65853305203938,POINT (-119.87759089592123 0.1588873699015471),14.0,15.0,Weston
1,2020-04-07 09:00:00,1.0,-119.86257,0.145411,29.31555416666667,POINT (-119.86257 0.145411),13.0,14.0,Easton
1,2020-04-07 10:00:00,1.0,-119.86257,0.145411,28.295494444444447,POINT (-119.86257 0.145411),13.0,14.0,Easton
1,2020-04-07 11:00:00,1.0,-119.86257,0.145411,27.826999999999998,POINT (-119.86257 0.145411),13.0,14.0,Easton
1,2020-04-07 12:00:00,1.0,-119.86257,0.145411,27.81992638888889,POINT (-119.86257 0.145411),13.0,14.0,Easton
1,2020-04-07 13:00:00,1.0,-119.86257,0.145411,27.349418055555553,POINT (-119.86257 0.145411),13.0,14.0,Easton
1,2020-04-07 14:00:00,1.0,-119.86257,0.145411,27.365509722222225,POINT (-119.86257 0.145411),13.0,14.0,Easton
1,2020-04-07 15:00:00,1.0,-119.86257,0.145411,27.130481944444444,POINT (-119.86257 0.145411),13.0,14.0,Easton
1,2020-04-07 16:00:00,1.0,-119.86265570277777,0.1455525875,26.549843055555552,POINT (-119.86265570277777 0.1455525875),13.0,14.0,Easton
1,2020-04-07 17:00:00,1.0,-119.93990299303621,0.16932215877437326,25.580362116991644,POINT (-119.93990299303621 0.1693221587743733),0.0,1.0,Palace Hills
1,2020-04-07 18:00:00,1.0,-119.966507,0.187861,25.19879305555556,POINT (-119.966507 0.187861),0.0,1.0,Palace Hills
1,2020-04-07 19:00:00,1.0,-119.966507,0.187861,24.162205555555555,POINT (-119.966507 0.187861),0.0,1.0,Palace Hills
1,2020-04-07 20:00:00,1.0,-119.966507,0.187861,24.101166666666668,POINT (-119.966507 0.187861),0.0,1.0,Palace Hills
1,2020-04-07 21:00:00,1.0,-119.966507,0.187861,23.553816666666666,POINT (-119.966507 0.187861),0.0,1.0,Palace Hills
1,2020-04-07 22:00:00,1.0,-119.966507,0.187861,23.845177777777774,POINT (-119.966507 0.187861),0.0,1.0,Palace Hills
1,2020-04-07 23:00:00,1.0,-119.966507,0.187861,24.807804166666664,POINT (-119.966507 0.187861),0.0,1.0,Palace Hills
1,2020-04-08 00:00:00,1.0,-119.966507,0.187861,25.481261111111113,POINT (-119.966507 0.187861),0.0,1.0,Palace Hills
1,2020-04-08 01:00:00,1.0,-119.966507,0.187861,26.38885694444444,POINT (-119.966507 0.187861),0.0,1.0,Palace Hills
