,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,5,13.0,9,16.46,1.73
3,2020-04-06 01:00:00,5,11.0,9,11.03,1.72
8,2020-04-06 02:00:00,5,12.0,9,17.5,1.7
11,2020-04-06 03:00:00,5,20.0,9,17.3,1.63
16,2020-04-06 04:00:00,5,22.0,9,11.95,1.51
21,2020-04-06 05:00:00,5,10.0,9,12.27,1.34
28,2020-04-06 06:00:00,5,5.0,4,12.99,1.14
31,2020-04-06 07:00:00,5,2.8,4,14.8,0.96
37,2020-04-06 08:00:00,5,2.0,4,11.68,0.84
43,2020-04-06 09:00:00,5,3.2,4,15.44,0.77
49,2020-04-06 10:00:00,5,2.2,4,11.27,0.74
55,2020-04-06 11:00:00,5,3.0,4,12.83,0.73
61,2020-04-06 12:00:00,5,3.2,4,13.35,0.73
67,2020-04-06 13:00:00,5,3.8,4,16.36,0.73
73,2020-04-06 14:00:00,5,3.4,4,12.81,0.76
79,2020-04-06 15:00:00,5,3.4,4,11.16,0.84
88,2020-04-06 16:00:00,5,14.0,4,16.02,1.02
94,2020-04-06 17:00:00,5,10.0,9,11.02,1.28
95,2020-04-06 18:00:00,5,13.0,9,13.46,1.53
99,2020-04-06 19:00:00,5,16.0,9,16.4,1.71
105,2020-04-06 20:00:00,5,15.0,9,14.62,1.79
108,2020-04-06 21:00:00,5,14.0,9,16.33,1.78
112,2020-04-06 22:00:00,5,13.0,9,17.89,1.76
117,2020-04-06 23:00:00,5,14.0,9,14.74,1.74
121,2020-04-07 00:00:00,5,18.0,9,17.99,1.73
126,2020-04-07 01:00:00,5,21.0,9,12.2,1.73
132,2020-04-07 02:00:00,5,11.0,9,14.01,1.73
138,2020-04-07 03:00:00,5,10.0,9,12.22,1.73
144,2020-04-07 04:00:00,5,14.0,9,14.4,1.73
150,2020-04-07 05:00:00,5,8.0,9,10.24,1.73
155,2020-04-07 06:00:00,5,19.0,9,11.06,1.72
160,2020-04-07 07:00:00,5,23.0,9,11.03,1.71
165,2020-04-07 08:00:00,5,18.0,9,14.28,1.69
169,2020-04-07 09:00:00,5,18.0,9,14.58,1.62
175,2020-04-07 10:00:00,5,15.0,9,15.2,1.51
179,2020-04-07 11:00:00,5,9.0,9,16.79,1.34
190,2020-04-07 12:00:00,5,2.6,4,17.9,1.15
191,2020-04-07 13:00:00,5,2.2,4,17.6,1.0
197,2020-04-07 14:00:00,5,3.8,4,12.48,0.95
203,2020-04-07 15:00:00,5,3.6,4,15.36,1.0
209,2020-04-07 16:00:00,5,3.2,4,12.01,1.15
213,2020-04-07 17:00:00,5,15.0,9,13.06,1.34
217,2020-04-07 18:00:00,5,16.0,9,13.68,1.51
223,2020-04-07 19:00:00,5,12.0,9,15.94,1.62
229,2020-04-07 20:00:00,5,17.0,9,16.28,1.69
234,2020-04-07 21:00:00,5,11.0,9,13.53,1.71
238,2020-04-07 22:00:00,5,13.0,9,14.63,1.72
244,2020-04-07 23:00:00,5,13.0,9,13.49,1.72
250,2020-04-08 00:00:00,5,19.0,9,11.6,1.73
255,2020-04-08 01:00:00,5,14.0,9,13.48,1.73
260,2020-04-08 02:00:00,5,16.0,9,12.92,1.73
264,2020-04-08 03:00:00,5,13.0,9,16.44,1.73
270,2020-04-08 04:00:00,5,15.0,9,14.04,1.73
275,2020-04-08 05:00:00,5,8.0,9,13.91,1.73
281,2020-04-08 06:00:00,5,14.0,9,13.17,1.72
287,2020-04-08 07:00:00,5,30.0,9,13.59,1.72
293,2020-04-08 08:00:00,5,12.0,9,13.5,1.71
297,2020-04-08 09:00:00,5,14.87,9,12.46,1.68
302,2020-04-08 10:00:00,5,15.98,9,13.46,1.61
306,2020-04-08 11:00:00,5,11.53,9,16.65,1.48
313,2020-04-08 12:00:00,5,14.91,4,13.69,1.32
317,2020-04-08 13:00:00,5,2.37,4,14.68,1.15
320,2020-04-08 14:00:00,5,2.75,4,16.16,1.05
326,2020-04-08 15:00:00,5,2.7,4,11.36,1.06
332,2020-04-08 16:00:00,5,11.45,4,13.74,1.17
335,2020-04-08 17:00:00,5,23.48,9,14.71,1.34
338,2020-04-08 18:00:00,5,9.48,9,15.41,1.5
341,2020-04-08 19:00:00,5,12.19,9,13.26,1.62
347,2020-04-08 20:00:00,5,17.23,9,15.49,1.68
350,2020-04-08 21:00:00,5,18.97,9,15.09,1.71
354,2020-04-08 22:00:00,5,18.22,9,15.85,1.72
358,2020-04-08 23:00:00,5,17.98,9,17.39,1.72
362,2020-04-09 00:00:00,5,22.31,9,13.9,1.72
364,2020-04-09 01:00:00,5,20.35,9,7.9,1.72
368,2020-04-09 02:00:00,5,16.41,9,11.48,1.71
372,2020-04-09 03:00:00,5,13.86,9,12.85,1.7
377,2020-04-09 04:00:00,5,10.93,9,13.87,1.65
381,2020-04-09 05:00:00,5,13.82,9,14.68,1.56
386,2020-04-09 06:00:00,5,8.86,9,10.72,1.4
392,2020-04-09 07:00:00,5,18.28,12,9.0,1.21
395,2020-04-10 20:00:00,5,35.55,12,16.86,1.05
399,2020-04-10 21:00:00,5,30.84,9,25.51,0.95
400,2020-04-10 22:00:00,5,16.11,9,27.44,0.92
406,2020-04-10 23:00:00,5,18.86,4,9.47,0.91
