,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,42,32.0,14,11.03,2.87
6,2020-04-06 01:00:00,42,35.0,14,14.95,2.87
12,2020-04-06 02:00:00,42,39.0,14,16.6,2.88
18,2020-04-06 03:00:00,42,36.0,14,14.74,2.91
24,2020-04-06 04:00:00,42,29.0,14,12.09,2.97
30,2020-04-06 05:00:00,42,31.0,14,13.09,3.08
36,2020-04-06 06:00:00,42,33.0,14,14.12,3.25
42,2020-04-06 07:00:00,42,37.0,6,13.49,3.43
48,2020-04-06 08:00:00,42,35.0,6,12.02,3.6
54,2020-04-06 09:00:00,42,30.0,6,16.72,3.71
60,2020-04-06 10:00:00,42,36.0,6,15.5,3.77
66,2020-04-06 11:00:00,42,34.0,6,15.32,3.79
72,2020-04-06 12:00:00,42,35.0,6,17.6,3.77
78,2020-04-06 13:00:00,42,36.0,6,15.02,3.71
84,2020-04-06 14:00:00,42,37.0,6,14.7,3.6
90,2020-04-06 15:00:00,42,33.0,6,18.51,3.44
100,2020-04-06 16:00:00,42,34.0,14,17.5,3.25
102,2020-04-06 17:00:00,42,37.0,14,13.96,3.08
108,2020-04-06 18:00:00,42,32.0,14,13.04,2.97
114,2020-04-06 19:00:00,42,33.0,14,13.8,2.91
120,2020-04-06 20:00:00,42,33.0,14,12.08,2.89
126,2020-04-06 21:00:00,42,39.0,14,14.85,2.88
132,2020-04-06 22:00:00,42,32.0,14,12.06,2.88
138,2020-04-06 23:00:00,42,34.0,14,15.08,2.87
144,2020-04-07 00:00:00,42,36.0,14,16.93,2.87
150,2020-04-07 01:00:00,42,32.0,14,14.92,2.87
156,2020-04-07 02:00:00,42,37.0,14,17.36,2.87
162,2020-04-07 03:00:00,42,34.0,14,15.0,2.87
168,2020-04-07 04:00:00,42,31.0,14,15.62,2.87
174,2020-04-07 05:00:00,42,37.0,14,11.0,2.87
180,2020-04-07 06:00:00,42,40.0,14,16.92,2.88
186,2020-04-07 07:00:00,42,38.0,14,14.75,2.88
192,2020-04-07 08:00:00,42,35.0,14,14.18,2.89
198,2020-04-07 09:00:00,42,38.0,14,15.11,2.91
204,2020-04-07 10:00:00,42,37.0,14,13.66,2.97
210,2020-04-07 11:00:00,42,33.0,14,14.79,3.07
216,2020-04-07 12:00:00,42,32.0,14,13.7,3.21
224,2020-04-07 13:00:00,42,36.0,6,17.13,3.33
228,2020-04-07 14:00:00,42,34.0,6,13.06,3.38
234,2020-04-07 15:00:00,42,31.0,6,12.47,3.34
242,2020-04-07 16:00:00,42,38.0,14,15.26,3.21
246,2020-04-07 17:00:00,42,36.0,14,15.58,3.08
252,2020-04-07 18:00:00,42,36.0,14,12.24,2.98
258,2020-04-07 19:00:00,42,38.0,14,19.1,2.92
264,2020-04-07 20:00:00,42,38.0,14,13.78,2.89
270,2020-04-07 21:00:00,42,35.0,14,11.85,2.89
276,2020-04-07 22:00:00,42,34.0,14,13.12,2.88
282,2020-04-07 23:00:00,42,32.0,14,13.0,2.88
288,2020-04-08 00:00:00,42,31.0,14,18.05,2.88
294,2020-04-08 01:00:00,42,38.0,14,12.16,2.88
300,2020-04-08 02:00:00,42,39.0,14,10.66,2.89
306,2020-04-08 03:00:00,42,30.0,14,15.96,2.89
312,2020-04-08 04:00:00,42,35.0,14,12.26,2.92
318,2020-04-08 05:00:00,42,39.0,14,17.11,2.98
324,2020-04-08 06:00:00,42,36.0,14,12.85,3.09
330,2020-04-08 07:00:00,42,40.0,14,18.3,3.25
336,2020-04-08 08:00:00,42,33.0,6,16.44,3.43
342,2020-04-08 09:00:00,42,39.1,6,13.18,3.59
348,2020-04-08 10:00:00,42,35.32,6,11.65,3.7
354,2020-04-08 11:00:00,42,34.34,6,15.45,3.75
360,2020-04-08 12:00:00,42,35.93,6,12.03,3.75
366,2020-04-08 13:00:00,42,35.53,6,16.47,3.7
372,2020-04-08 14:00:00,42,39.91,6,16.92,3.59
378,2020-04-08 15:00:00,42,38.84,6,16.74,3.43
387,2020-04-08 16:00:00,42,50.76,14,17.18,3.24
390,2020-04-08 17:00:00,42,62.82,14,13.52,3.08
395,2020-04-08 18:00:00,42,59.27,14,15.74,2.97
401,2020-04-08 19:00:00,42,52.7,14,12.1,2.91
403,2020-04-08 20:00:00,42,60.06,14,15.11,2.89
408,2020-04-08 21:00:00,42,62.01,14,11.91,2.88
414,2020-04-08 22:00:00,42,59.64,14,17.02,2.87
419,2020-04-08 23:00:00,42,56.84,14,13.83,2.87
424,2020-04-09 00:00:00,42,56.04,14,13.54,2.87
428,2020-04-09 01:00:00,42,52.7,14,15.1,2.87
433,2020-04-09 02:00:00,42,47.39,14,10.27,2.87
439,2020-04-09 03:00:00,42,54.38,14,17.47,2.87
445,2020-04-09 04:00:00,42,59.13,14,13.37,2.87
449,2020-04-09 05:00:00,42,55.28,14,14.36,2.87
454,2020-04-09 06:00:00,42,51.16,14,14.85,2.87
459,2020-04-09 07:00:00,42,44.05,14,12.81,2.87
463,2020-04-09 08:00:00,42,54.63,14,12.13,2.88
467,2020-04-09 09:00:00,42,63.92,14,12.71,2.88
474,2020-04-09 10:00:00,42,56.51,14,17.38,2.88
476,2020-04-09 11:00:00,42,54.38,14,10.63,2.88
481,2020-04-09 12:00:00,42,53.78,14,14.53,2.88
486,2020-04-09 13:00:00,42,57.89,14,19.31,2.88
490,2020-04-09 14:00:00,42,49.11,14,15.98,2.88
494,2020-04-09 15:00:00,42,47.92,14,17.19,2.88
500,2020-04-09 16:00:00,42,54.83,14,6.49,2.88
506,2020-04-09 17:00:00,42,62.43,14,14.04,2.88
512,2020-04-09 18:00:00,42,65.46,14,8.52,2.88
518,2020-04-09 19:00:00,42,57.26,14,14.2,2.88
522,2020-04-09 20:00:00,42,61.91,14,19.52,2.88
528,2020-04-09 21:00:00,42,59.17,14,13.08,2.88
532,2020-04-09 22:00:00,42,62.91,14,17.06,2.88
538,2020-04-09 23:00:00,42,62.09,14,23.88,2.88
543,2020-04-10 00:00:00,42,56.89,14,21.25,2.88
548,2020-04-10 01:00:00,42,54.01,14,17.23,2.88
554,2020-04-10 02:00:00,42,59.89,14,13.76,2.88
560,2020-04-10 03:00:00,42,51.89,14,18.82,2.88
566,2020-04-10 04:00:00,42,51.92,14,14.21,2.88
572,2020-04-10 05:00:00,42,51.36,14,12.37,2.88
577,2020-04-10 06:00:00,42,61.43,14,15.3,2.88
583,2020-04-10 07:00:00,42,63.5,14,1.9,2.88
589,2020-04-10 08:00:00,42,68.41,14,11.55,2.88
593,2020-04-10 09:00:00,42,50.87,14,20.76,2.88
598,2020-04-10 10:00:00,42,64.15,14,16.69,2.88
604,2020-04-10 11:00:00,42,47.4,14,13.53,2.88
612,2020-04-10 12:00:00,42,48.75,14,14.25,2.88
615,2020-04-10 13:00:00,42,64.76,14,11.84,2.88
621,2020-04-10 14:00:00,42,43.08,14,12.34,2.88
626,2020-04-10 15:00:00,42,48.53,14,16.38,2.88
632,2020-04-10 16:00:00,42,52.05,14,14.67,2.88
638,2020-04-10 17:00:00,42,58.56,14,11.84,2.88
644,2020-04-10 18:00:00,42,58.42,14,13.62,2.88
650,2020-04-10 19:00:00,42,52.79,14,11.84,2.88
656,2020-04-10 20:00:00,42,65.68,14,6.73,2.88
662,2020-04-10 21:00:00,42,56.0,14,16.37,2.88
668,2020-04-10 22:00:00,42,56.48,14,11.35,2.88
674,2020-04-10 23:00:00,42,48.23,14,14.24,2.88
