,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,35,32.0,14,11.03,4.31
6,2020-04-06 01:00:00,35,30.0,14,14.95,4.31
12,2020-04-06 02:00:00,35,32.0,14,16.6,4.31
18,2020-04-06 03:00:00,35,26.0,14,14.74,4.28
24,2020-04-06 04:00:00,35,27.0,14,12.09,4.22
30,2020-04-06 05:00:00,35,32.0,14,13.09,4.07
36,2020-04-06 06:00:00,35,29.0,14,14.12,3.78
42,2020-04-06 07:00:00,35,32.0,14,14.87,3.35
48,2020-04-06 08:00:00,35,34.0,6,12.02,2.88
54,2020-04-06 09:00:00,35,31.0,6,16.72,2.45
60,2020-04-06 10:00:00,35,30.0,6,15.5,2.16
66,2020-04-06 11:00:00,35,27.0,6,15.32,2.01
72,2020-04-06 12:00:00,35,28.0,6,17.6,1.97
78,2020-04-06 13:00:00,35,25.0,6,15.02,2.01
84,2020-04-06 14:00:00,35,29.0,6,14.7,2.16
90,2020-04-06 15:00:00,35,34.0,6,18.51,2.45
96,2020-04-06 16:00:00,35,31.0,6,17.81,2.87
102,2020-04-06 17:00:00,35,30.0,14,13.96,3.35
108,2020-04-06 18:00:00,35,30.0,14,13.04,3.76
114,2020-04-06 19:00:00,35,34.0,14,13.8,4.05
120,2020-04-06 20:00:00,35,30.0,14,12.08,4.21
126,2020-04-06 21:00:00,35,33.0,14,14.85,4.27
132,2020-04-06 22:00:00,35,27.0,14,12.06,4.29
138,2020-04-06 23:00:00,35,29.0,14,15.08,4.3
144,2020-04-07 00:00:00,35,31.0,14,16.93,4.29
150,2020-04-07 01:00:00,35,33.0,14,14.92,4.27
156,2020-04-07 02:00:00,35,31.0,14,17.36,4.21
162,2020-04-07 03:00:00,35,29.0,14,15.0,4.05
168,2020-04-07 04:00:00,35,28.0,14,15.62,3.76
174,2020-04-07 05:00:00,35,31.0,14,11.0,3.34
184,2020-04-07 06:00:00,35,35.0,6,13.87,2.87
186,2020-04-07 07:00:00,35,30.0,6,17.49,2.45
192,2020-04-07 08:00:00,35,32.0,6,15.5,2.16
198,2020-04-07 09:00:00,35,31.0,6,14.7,2.01
204,2020-04-07 10:00:00,35,30.0,6,15.32,1.94
210,2020-04-07 11:00:00,35,28.0,6,13.66,1.93
216,2020-04-07 12:00:00,35,26.0,6,16.66,1.94
222,2020-04-07 13:00:00,35,29.0,6,13.39,2.01
228,2020-04-07 14:00:00,35,29.0,6,13.06,2.16
234,2020-04-07 15:00:00,35,29.0,6,12.47,2.45
240,2020-04-07 16:00:00,35,30.0,6,13.09,2.87
246,2020-04-07 17:00:00,35,34.0,14,15.58,3.34
252,2020-04-07 18:00:00,35,27.0,14,12.24,3.76
258,2020-04-07 19:00:00,35,30.0,14,19.1,4.05
264,2020-04-07 20:00:00,35,33.0,14,13.78,4.21
270,2020-04-07 21:00:00,35,34.0,14,11.85,4.27
276,2020-04-07 22:00:00,35,29.0,14,13.12,4.29
282,2020-04-07 23:00:00,35,30.0,14,13.0,4.3
288,2020-04-08 00:00:00,35,32.0,14,18.05,4.3
294,2020-04-08 01:00:00,35,32.0,14,12.16,4.3
300,2020-04-08 02:00:00,35,31.0,14,10.66,4.3
306,2020-04-08 03:00:00,35,31.0,14,15.96,4.3
312,2020-04-08 04:00:00,35,32.0,14,12.26,4.3
318,2020-04-08 05:00:00,35,32.0,14,17.11,4.3
324,2020-04-08 06:00:00,35,28.0,14,12.85,4.3
330,2020-04-08 07:00:00,35,32.0,14,18.3,4.29
336,2020-04-08 08:00:00,35,34.0,14,16.13,4.27
342,2020-04-08 09:00:00,35,32.0,14,15.23,4.19
348,2020-04-08 10:00:00,35,32.0,14,17.96,4.03
354,2020-04-08 11:00:00,35,32.0,14,16.04,3.73
363,2020-04-08 12:00:00,35,32.0,6,11.6,3.33
368,2020-04-08 13:00:00,35,32.0,6,17.69,2.92
372,2020-04-08 14:00:00,35,32.0,6,16.92,2.67
378,2020-04-08 15:00:00,35,32.0,6,16.74,2.68
384,2020-04-08 16:00:00,35,32.0,6,13.42,2.96
390,2020-04-08 17:00:00,35,32.0,14,13.52,3.37
396,2020-04-08 18:00:00,35,32.0,14,15.74,3.77
402,2020-04-08 19:00:00,35,32.0,14,12.1,4.06
408,2020-04-08 20:00:00,35,32.0,14,15.11,4.21
414,2020-04-08 21:00:00,35,32.0,14,11.91,4.28
420,2020-04-08 22:00:00,35,32.0,14,17.02,4.3
426,2020-04-08 23:00:00,35,32.0,14,15.17,4.3
432,2020-04-09 00:00:00,35,32.0,14,13.54,4.3
438,2020-04-09 01:00:00,35,32.0,14,15.1,4.3
444,2020-04-09 02:00:00,35,32.0,14,10.27,4.3
450,2020-04-09 03:00:00,35,32.0,14,17.47,4.3
456,2020-04-09 04:00:00,35,32.0,14,13.37,4.3
462,2020-04-09 05:00:00,35,32.0,14,14.36,4.3
468,2020-04-09 06:00:00,35,32.0,14,14.85,4.3
474,2020-04-09 07:00:00,35,32.0,14,12.81,4.3
480,2020-04-09 08:00:00,35,32.0,14,18.47,4.3
486,2020-04-09 09:00:00,35,32.0,14,13.25,4.3
492,2020-04-09 10:00:00,35,32.0,14,11.96,4.3
498,2020-04-09 11:00:00,35,32.0,14,10.63,4.3
504,2020-04-09 12:00:00,35,32.0,14,14.53,4.3
510,2020-04-09 13:00:00,35,32.0,14,20.91,4.3
516,2020-04-09 14:00:00,35,32.0,14,15.98,4.3
522,2020-04-09 15:00:00,35,32.0,14,17.19,4.3
528,2020-04-09 16:00:00,35,32.0,14,6.49,4.3
534,2020-04-09 17:00:00,35,32.0,14,14.04,4.3
540,2020-04-09 18:00:00,35,32.0,14,8.52,4.3
546,2020-04-09 19:00:00,35,32.0,14,14.2,4.3
552,2020-04-09 20:00:00,35,32.0,14,19.52,4.3
558,2020-04-09 21:00:00,35,32.0,14,13.08,4.3
564,2020-04-09 22:00:00,35,32.0,14,17.06,4.3
570,2020-04-09 23:00:00,35,32.0,14,23.88,4.3
576,2020-04-10 00:00:00,35,32.0,14,21.25,4.3
582,2020-04-10 01:00:00,35,32.0,14,17.23,4.3
588,2020-04-10 02:00:00,35,32.0,14,13.76,4.3
594,2020-04-10 03:00:00,35,32.0,14,18.82,4.3
600,2020-04-10 04:00:00,35,32.0,14,14.21,4.3
606,2020-04-10 05:00:00,35,32.0,14,12.37,4.3
612,2020-04-10 06:00:00,35,32.0,14,15.3,4.3
618,2020-04-10 07:00:00,35,32.0,14,1.9,4.3
624,2020-04-10 08:00:00,35,32.0,14,14.24,4.3
630,2020-04-10 09:00:00,35,32.0,14,20.76,4.3
636,2020-04-10 10:00:00,35,32.0,14,16.69,4.3
642,2020-04-10 11:00:00,35,32.0,14,13.53,4.3
648,2020-04-10 12:00:00,35,32.0,14,14.22,4.3
654,2020-04-10 13:00:00,35,32.0,14,11.84,4.3
660,2020-04-10 14:00:00,35,32.0,14,14.06,4.3
666,2020-04-10 15:00:00,35,32.0,14,16.38,4.3
672,2020-04-10 16:00:00,35,32.0,14,14.67,4.3
678,2020-04-10 17:00:00,35,32.0,14,11.84,4.3
684,2020-04-10 18:00:00,35,32.0,14,13.62,4.3
690,2020-04-10 19:00:00,35,32.0,14,11.84,4.3
696,2020-04-10 20:00:00,35,32.0,14,6.73,4.3
702,2020-04-10 21:00:00,35,32.0,14,16.37,4.3
708,2020-04-10 22:00:00,35,32.0,14,11.35,4.3
714,2020-04-10 23:00:00,35,32.0,14,14.24,4.3
