,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,45,41.0,11,12.73,2.34
6,2020-04-06 01:00:00,45,42.0,11,13.34,2.34
12,2020-04-06 02:00:00,45,42.0,11,13.39,2.35
18,2020-04-06 03:00:00,45,37.0,11,16.76,2.37
24,2020-04-06 04:00:00,45,36.0,11,17.64,2.43
30,2020-04-06 05:00:00,45,43.0,11,12.15,2.55
36,2020-04-06 06:00:00,45,39.0,11,16.43,2.74
42,2020-04-06 07:00:00,45,34.0,11,12.41,2.98
48,2020-04-06 08:00:00,45,39.0,11,14.75,3.21
54,2020-04-06 09:00:00,45,45.0,11,17.87,3.38
60,2020-04-06 10:00:00,45,41.0,11,11.15,3.51
66,2020-04-06 11:00:00,45,35.0,11,13.91,3.63
74,2020-04-06 12:00:00,45,37.0,11,11.36,3.76
78,2020-04-06 13:00:00,45,42.0,14,11.41,3.85
84,2020-04-06 14:00:00,45,39.0,14,13.83,3.81
90,2020-04-06 15:00:00,45,35.0,14,15.8,3.58
100,2020-04-06 16:00:00,45,37.0,11,12.5,3.22
102,2020-04-06 17:00:00,45,36.0,11,12.76,2.85
108,2020-04-06 18:00:00,45,38.0,11,14.98,2.58
114,2020-04-06 19:00:00,45,39.0,11,14.24,2.43
120,2020-04-06 20:00:00,45,39.0,11,14.44,2.37
126,2020-04-06 21:00:00,45,42.0,11,12.06,2.35
132,2020-04-06 22:00:00,45,45.0,11,12.26,2.34
138,2020-04-06 23:00:00,45,36.0,11,10.64,2.34
144,2020-04-07 00:00:00,45,35.0,11,15.53,2.34
150,2020-04-07 01:00:00,45,39.0,11,18.24,2.34
156,2020-04-07 02:00:00,45,38.0,11,11.97,2.34
162,2020-04-07 03:00:00,45,36.0,11,17.09,2.34
168,2020-04-07 04:00:00,45,38.0,11,13.11,2.34
174,2020-04-07 05:00:00,45,40.0,11,14.74,2.37
182,2020-04-07 06:00:00,45,38.0,11,12.37,2.41
186,2020-04-07 07:00:00,45,43.0,11,16.93,2.47
192,2020-04-07 08:00:00,45,40.0,11,14.26,2.55
198,2020-04-07 09:00:00,45,38.0,11,13.88,2.6
204,2020-04-07 10:00:00,45,40.0,11,15.79,2.6
210,2020-04-07 11:00:00,45,35.0,11,15.37,2.47
216,2020-04-07 12:00:00,45,47.0,11,16.73,2.17
227,2020-04-07 13:00:00,45,40.0,13,15.45,1.74
228,2020-04-07 14:00:00,45,37.0,13,15.32,1.34
234,2020-04-07 15:00:00,45,41.0,13,14.32,1.16
240,2020-04-07 16:00:00,45,42.0,13,11.94,1.26
246,2020-04-07 17:00:00,45,39.0,14,15.58,1.56
252,2020-04-07 18:00:00,45,37.0,11,14.67,1.88
258,2020-04-07 19:00:00,45,39.0,11,12.34,2.13
264,2020-04-07 20:00:00,45,41.0,11,18.47,2.27
270,2020-04-07 21:00:00,45,38.0,11,14.88,2.33
276,2020-04-07 22:00:00,45,40.0,11,13.51,2.34
282,2020-04-07 23:00:00,45,40.0,11,11.83,2.35
288,2020-04-08 00:00:00,45,38.0,11,15.28,2.35
294,2020-04-08 01:00:00,45,39.0,11,13.5,2.36
300,2020-04-08 02:00:00,45,41.0,11,17.74,2.38
306,2020-04-08 03:00:00,45,37.0,11,13.15,2.46
312,2020-04-08 04:00:00,45,42.0,11,16.08,2.65
318,2020-04-08 05:00:00,45,43.0,11,13.82,3.0
324,2020-04-08 06:00:00,45,42.0,11,14.38,3.51
330,2020-04-08 07:00:00,45,40.0,6,10.89,4.09
336,2020-04-08 08:00:00,45,38.0,6,16.44,4.59
341,2020-04-08 09:00:00,45,41.27,6,13.18,4.9
346,2020-04-08 10:00:00,45,35.35,6,11.65,5.02
352,2020-04-08 11:00:00,45,40.82,6,15.45,4.98
362,2020-04-08 12:00:00,45,35.07,14,12.62,4.85
363,2020-04-08 13:00:00,45,45.5,14,18.96,4.63
367,2020-04-08 14:00:00,45,37.97,14,14.18,4.32
372,2020-04-08 15:00:00,45,35.37,14,16.21,3.91
376,2020-04-08 16:00:00,45,40.86,11,12.53,3.44
377,2020-04-08 17:00:00,45,42.23,11,11.54,3.01
382,2020-04-08 18:00:00,45,40.33,11,12.92,2.68
386,2020-04-08 19:00:00,45,32.4,11,18.43,2.49
391,2020-04-08 20:00:00,45,41.87,11,17.93,2.4
392,2020-04-08 21:00:00,45,37.43,11,16.59,2.37
395,2020-04-08 22:00:00,45,42.74,11,18.35,2.36
398,2020-04-08 23:00:00,45,42.18,11,20.54,2.35
401,2020-04-09 00:00:00,45,29.0,11,21.55,2.35
405,2020-04-09 01:00:00,45,42.03,11,20.32,2.36
407,2020-04-09 02:00:00,45,36.68,11,24.06,2.38
410,2020-04-09 03:00:00,45,41.94,11,17.72,2.45
412,2020-04-09 04:00:00,45,40.56,11,24.77,2.68
417,2020-04-09 05:00:00,45,37.98,11,23.13,3.21
420,2020-04-09 06:00:00,45,39.67,11,17.65,4.19
