,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,33,32.0,14,11.03,3.26
6,2020-04-06 01:00:00,33,28.0,14,14.95,3.26
12,2020-04-06 02:00:00,33,27.0,14,16.6,3.26
18,2020-04-06 03:00:00,33,34.0,14,14.74,3.25
24,2020-04-06 04:00:00,33,33.0,14,12.09,3.22
30,2020-04-06 05:00:00,33,27.0,14,13.09,3.14
36,2020-04-06 06:00:00,33,26.0,14,14.12,2.99
42,2020-04-06 07:00:00,33,29.0,14,14.87,2.77
50,2020-04-06 08:00:00,33,27.0,4,19.16,2.52
54,2020-04-06 09:00:00,33,31.0,4,15.44,2.3
60,2020-04-06 10:00:00,33,28.0,4,11.27,2.16
66,2020-04-06 11:00:00,33,26.0,4,12.83,2.08
72,2020-04-06 12:00:00,33,31.0,4,13.35,2.06
78,2020-04-06 13:00:00,33,30.0,4,16.36,2.08
84,2020-04-06 14:00:00,33,29.0,4,12.81,2.15
90,2020-04-06 15:00:00,33,29.0,4,11.16,2.3
96,2020-04-06 16:00:00,33,25.0,4,16.52,2.52
102,2020-04-06 17:00:00,33,33.0,14,13.96,2.76
108,2020-04-06 18:00:00,33,34.0,14,13.04,2.98
114,2020-04-06 19:00:00,33,31.0,14,13.8,3.13
120,2020-04-06 20:00:00,33,31.0,14,12.08,3.21
126,2020-04-06 21:00:00,33,32.0,14,14.85,3.24
132,2020-04-06 22:00:00,33,33.0,14,12.06,3.25
138,2020-04-06 23:00:00,33,30.0,14,15.08,3.25
144,2020-04-07 00:00:00,33,33.0,14,16.93,3.25
150,2020-04-07 01:00:00,33,32.0,14,14.92,3.25
156,2020-04-07 02:00:00,33,24.0,14,17.36,3.24
162,2020-04-07 03:00:00,33,34.0,14,15.0,3.21
168,2020-04-07 04:00:00,33,34.0,14,15.62,3.13
174,2020-04-07 05:00:00,33,26.0,14,11.0,2.98
180,2020-04-07 06:00:00,33,29.0,14,16.92,2.76
187,2020-04-07 07:00:00,33,30.0,4,13.68,2.51
192,2020-04-07 08:00:00,33,31.0,4,15.85,2.3
198,2020-04-07 09:00:00,33,26.0,4,14.09,2.15
204,2020-04-07 10:00:00,33,28.0,4,12.58,2.07
210,2020-04-07 11:00:00,33,31.0,4,16.63,2.04
216,2020-04-07 12:00:00,33,31.0,4,16.22,2.03
222,2020-04-07 13:00:00,33,32.0,4,17.6,2.05
228,2020-04-07 14:00:00,33,31.0,4,12.48,2.08
234,2020-04-07 15:00:00,33,28.0,4,15.36,2.13
240,2020-04-07 16:00:00,33,30.0,4,12.01,2.16
248,2020-04-07 17:00:00,33,29.0,14,12.33,2.16
255,2020-04-07 18:00:00,33,32.0,14,11.54,2.16
258,2020-04-07 19:00:00,33,30.0,14,19.1,2.23
264,2020-04-07 20:00:00,33,31.0,14,13.78,2.4
270,2020-04-07 21:00:00,33,28.0,14,11.85,2.65
276,2020-04-07 22:00:00,33,33.0,14,13.12,2.91
282,2020-04-07 23:00:00,33,28.0,14,13.0,3.09
288,2020-04-08 00:00:00,33,30.0,14,18.05,3.19
294,2020-04-08 01:00:00,33,34.0,14,12.16,3.22
300,2020-04-08 02:00:00,33,31.0,14,10.66,3.2
306,2020-04-08 03:00:00,33,34.0,14,15.96,3.13
312,2020-04-08 04:00:00,33,28.0,14,12.26,2.98
318,2020-04-08 05:00:00,33,31.0,14,17.11,2.76
329,2020-04-08 06:00:00,33,31.0,4,12.27,2.51
330,2020-04-08 07:00:00,33,24.0,4,16.9,2.3
336,2020-04-08 08:00:00,33,31.0,4,15.59,2.15
342,2020-04-08 09:00:00,33,33.72,4,11.87,2.07
345,2020-04-08 10:00:00,33,28.58,4,15.1,2.03
350,2020-04-08 11:00:00,33,32.58,4,19.43,2.03
354,2020-04-08 12:00:00,33,31.96,4,14.34,2.03
359,2020-04-08 13:00:00,33,26.75,4,12.45,2.07
365,2020-04-08 14:00:00,33,29.11,4,16.16,2.15
371,2020-04-08 15:00:00,33,27.53,4,11.36,2.3
377,2020-04-08 16:00:00,33,27.69,4,13.74,2.51
382,2020-04-08 17:00:00,33,31.48,14,16.06,2.76
387,2020-04-08 18:00:00,33,27.77,14,15.74,2.98
393,2020-04-08 19:00:00,33,32.15,14,12.1,3.13
399,2020-04-08 20:00:00,33,24.53,14,15.11,3.21
405,2020-04-08 21:00:00,33,35.04,14,11.91,3.24
411,2020-04-08 22:00:00,33,33.23,14,17.02,3.25
417,2020-04-08 23:00:00,33,32.96,14,15.17,3.25
423,2020-04-09 00:00:00,33,36.44,14,13.54,3.26
429,2020-04-09 01:00:00,33,24.33,14,15.1,3.26
435,2020-04-09 02:00:00,33,42.6,14,10.27,3.26
441,2020-04-09 03:00:00,33,38.82,14,17.47,3.26
447,2020-04-09 04:00:00,33,38.52,14,13.37,3.26
453,2020-04-09 05:00:00,33,34.95,14,14.36,3.26
459,2020-04-09 06:00:00,33,38.76,14,14.85,3.25
465,2020-04-09 07:00:00,33,30.07,14,12.81,3.25
471,2020-04-09 08:00:00,33,34.33,14,18.47,3.24
477,2020-04-09 09:00:00,33,40.24,14,13.25,3.21
483,2020-04-09 10:00:00,33,30.76,14,11.96,3.13
489,2020-04-09 11:00:00,33,36.46,14,10.63,2.98
495,2020-04-09 12:00:00,33,27.9,14,14.53,2.77
505,2020-04-09 13:00:00,33,24.23,4,11.66,2.55
507,2020-04-09 14:00:00,33,34.99,4,10.85,2.41
513,2020-04-09 15:00:00,33,34.0,4,12.21,2.41
519,2020-04-09 16:00:00,33,20.56,4,18.32,2.55
529,2020-04-09 17:00:00,33,38.55,14,12.66,2.77
531,2020-04-09 18:00:00,33,36.39,14,8.52,2.98
537,2020-04-09 19:00:00,33,32.53,14,14.2,3.13
542,2020-04-09 20:00:00,33,36.17,14,19.52,3.21
548,2020-04-09 21:00:00,33,34.79,14,13.08,3.24
553,2020-04-09 22:00:00,33,35.17,14,17.06,3.25
557,2020-04-09 23:00:00,33,29.13,14,23.88,3.26
563,2020-04-10 00:00:00,33,36.02,14,21.25,3.26
569,2020-04-10 01:00:00,33,37.77,14,17.23,3.26
575,2020-04-10 02:00:00,33,27.12,14,13.76,3.25
581,2020-04-10 03:00:00,33,32.38,14,18.82,3.24
587,2020-04-10 04:00:00,33,24.34,14,14.21,3.21
593,2020-04-10 05:00:00,33,19.32,14,12.37,3.13
599,2020-04-10 06:00:00,33,43.31,14,15.3,2.98
604,2020-04-10 07:00:00,33,24.61,14,1.9,2.76
611,2020-04-10 08:00:00,33,23.95,4,9.69,2.51
615,2020-04-10 09:00:00,33,27.05,4,23.57,2.3
621,2020-04-10 10:00:00,33,33.39,4,9.87,2.15
627,2020-04-10 11:00:00,33,34.7,4,17.5,2.07
632,2020-04-10 12:00:00,33,41.38,4,15.46,2.04
636,2020-04-10 13:00:00,33,38.73,4,15.75,2.06
642,2020-04-10 14:00:00,33,27.71,4,20.2,2.12
648,2020-04-10 15:00:00,33,28.26,4,12.2,2.24
654,2020-04-10 16:00:00,33,29.77,4,9.25,2.44
660,2020-04-10 17:00:00,33,31.81,14,11.84,2.67
666,2020-04-10 18:00:00,33,23.35,14,13.62,2.9
672,2020-04-10 19:00:00,33,30.8,14,11.84,3.07
677,2020-04-10 20:00:00,33,38.91,14,6.73,3.18
683,2020-04-10 21:00:00,33,43.5,14,16.37,3.23
689,2020-04-10 22:00:00,33,16.86,14,11.35,3.25
694,2020-04-10 23:00:00,33,48.02,14,14.24,3.25
