,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,30,17.0,14,11.03,7.98
6,2020-04-06 01:00:00,30,17.0,14,14.95,7.98
12,2020-04-06 02:00:00,30,17.0,14,16.6,8.0
18,2020-04-06 03:00:00,30,12.0,14,14.74,8.04
24,2020-04-06 04:00:00,30,13.0,14,12.09,8.16
30,2020-04-06 05:00:00,30,14.0,14,13.09,8.36
36,2020-04-06 06:00:00,30,15.0,14,14.12,8.66
42,2020-04-06 07:00:00,30,15.0,14,14.87,9.0
48,2020-04-06 08:00:00,30,15.0,14,13.39,9.31
54,2020-04-06 09:00:00,30,13.0,14,18.48,9.51
60,2020-04-06 10:00:00,30,17.0,14,15.58,9.62
66,2020-04-06 11:00:00,30,16.0,14,17.26,9.65
72,2020-04-06 12:00:00,30,18.0,14,14.87,9.62
78,2020-04-06 13:00:00,30,13.0,14,11.41,9.51
84,2020-04-06 14:00:00,30,14.0,14,13.83,9.3
90,2020-04-06 15:00:00,30,16.0,14,15.8,9.0
101,2020-04-06 16:00:00,30,16.0,14,13.14,8.66
102,2020-04-06 17:00:00,30,16.0,14,13.96,8.36
108,2020-04-06 18:00:00,30,16.0,14,13.04,8.15
114,2020-04-06 19:00:00,30,14.0,14,13.8,8.04
120,2020-04-06 20:00:00,30,14.0,14,12.08,7.99
126,2020-04-06 21:00:00,30,15.0,14,14.85,7.97
132,2020-04-06 22:00:00,30,17.0,14,12.06,7.97
138,2020-04-06 23:00:00,30,16.0,14,15.08,7.97
144,2020-04-07 00:00:00,30,14.0,14,16.93,7.97
150,2020-04-07 01:00:00,30,14.0,14,14.92,7.97
156,2020-04-07 02:00:00,30,15.0,14,17.36,7.97
162,2020-04-07 03:00:00,30,18.0,14,15.0,7.97
168,2020-04-07 04:00:00,30,15.0,14,15.62,7.97
174,2020-04-07 05:00:00,30,19.0,14,11.0,7.97
180,2020-04-07 06:00:00,30,18.0,14,16.92,7.97
186,2020-04-07 07:00:00,30,17.0,14,14.75,7.96
