,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,36,46.0,9,16.46,3.38
6,2020-04-06 01:00:00,36,44.0,9,11.03,3.36
12,2020-04-06 02:00:00,36,41.0,9,17.5,3.32
18,2020-04-06 03:00:00,36,42.0,9,17.3,3.19
24,2020-04-06 04:00:00,36,42.0,9,11.95,2.94
30,2020-04-06 05:00:00,36,41.0,9,16.13,2.55
41,2020-04-06 06:00:00,36,41.0,6,12.39,2.07
42,2020-04-06 07:00:00,36,38.0,6,13.49,1.59
47,2020-04-06 08:00:00,36,44.0,6,12.02,1.21
52,2020-04-06 09:00:00,36,39.0,6,16.72,0.98
57,2020-04-06 10:00:00,36,38.0,6,15.5,0.87
63,2020-04-06 11:00:00,36,44.0,6,15.32,0.83
69,2020-04-06 12:00:00,36,40.0,6,17.6,0.84
74,2020-04-06 13:00:00,36,44.0,6,15.02,0.89
79,2020-04-06 14:00:00,36,43.0,6,14.7,1.03
83,2020-04-06 15:00:00,36,40.0,6,18.51,1.32
90,2020-04-06 16:00:00,36,45.0,6,18.7,1.76
94,2020-04-06 17:00:00,36,38.0,9,12.01,2.28
100,2020-04-06 18:00:00,36,45.0,9,13.15,2.76
106,2020-04-06 19:00:00,36,38.0,9,16.4,3.09
112,2020-04-06 20:00:00,36,48.0,9,17.0,3.27
118,2020-04-06 21:00:00,36,42.0,9,14.71,3.35
124,2020-04-06 22:00:00,36,38.0,9,17.89,3.37
130,2020-04-06 23:00:00,36,41.0,9,14.74,3.38
136,2020-04-07 00:00:00,36,39.0,9,17.99,3.37
142,2020-04-07 01:00:00,36,41.0,9,12.2,3.35
148,2020-04-07 02:00:00,36,41.0,9,14.01,3.27
154,2020-04-07 03:00:00,36,41.0,9,12.22,3.09
160,2020-04-07 04:00:00,36,43.0,9,14.4,2.76
166,2020-04-07 05:00:00,36,47.0,9,10.24,2.28
174,2020-04-07 06:00:00,36,43.0,6,17.95,1.76
178,2020-04-07 07:00:00,36,44.0,6,17.49,1.32
182,2020-04-07 08:00:00,36,37.0,6,15.5,1.03
188,2020-04-07 09:00:00,36,43.0,6,14.97,0.88
193,2020-04-07 10:00:00,36,36.0,6,15.32,0.83
198,2020-04-07 11:00:00,36,46.0,6,13.66,0.82
204,2020-04-07 12:00:00,36,43.0,6,16.66,0.84
210,2020-04-07 13:00:00,36,41.0,6,13.39,0.91
215,2020-04-07 14:00:00,36,38.0,6,13.06,1.08
220,2020-04-07 15:00:00,36,43.0,6,12.47,1.39
225,2020-04-07 16:00:00,36,43.0,6,13.09,1.84
230,2020-04-07 17:00:00,36,37.0,9,16.64,2.35
236,2020-04-07 18:00:00,36,41.0,9,13.68,2.81
242,2020-04-07 19:00:00,36,39.0,9,15.94,3.12
248,2020-04-07 20:00:00,36,42.0,9,16.28,3.28
254,2020-04-07 21:00:00,36,43.0,9,13.53,3.35
260,2020-04-07 22:00:00,36,43.0,9,14.63,3.38
266,2020-04-07 23:00:00,36,38.0,9,13.49,3.38
272,2020-04-08 00:00:00,36,41.0,9,11.6,3.38
278,2020-04-08 01:00:00,36,40.0,9,13.48,3.37
284,2020-04-08 02:00:00,36,41.0,9,12.57,3.35
290,2020-04-08 03:00:00,36,40.0,9,16.44,3.28
296,2020-04-08 04:00:00,36,42.0,9,14.04,3.1
302,2020-04-08 05:00:00,36,40.0,9,13.91,2.78
308,2020-04-08 06:00:00,36,50.0,9,13.17,2.32
318,2020-04-08 07:00:00,36,46.0,6,13.44,1.8
320,2020-04-08 08:00:00,36,46.0,6,16.44,1.35
324,2020-04-08 09:00:00,36,44.51,6,13.18,1.05
328,2020-04-08 10:00:00,36,44.07,6,12.46,0.9
331,2020-04-08 11:00:00,36,37.35,6,15.45,0.84
336,2020-04-08 12:00:00,36,44.49,6,12.89,0.83
340,2020-04-08 13:00:00,36,37.84,6,14.1,0.85
345,2020-04-08 14:00:00,36,38.82,6,16.92,0.93
351,2020-04-08 15:00:00,36,40.56,6,16.74,1.12
357,2020-04-08 16:00:00,36,45.54,6,13.42,1.45
365,2020-04-08 17:00:00,36,42.57,13,15.52,1.91
367,2020-04-08 18:00:00,36,40.9,9,14.9,2.42
370,2020-04-08 19:00:00,36,36.59,9,13.26,2.86
374,2020-04-08 20:00:00,36,41.8,9,15.49,3.15
379,2020-04-08 21:00:00,36,38.51,9,10.95,3.3
382,2020-04-08 22:00:00,36,34.82,9,14.35,3.37
386,2020-04-08 23:00:00,36,35.08,9,13.41,3.38
390,2020-04-09 00:00:00,36,35.52,9,14.71,3.39
393,2020-04-09 01:00:00,36,36.69,9,7.9,3.37
397,2020-04-09 02:00:00,36,40.79,9,11.48,3.33
403,2020-04-09 03:00:00,36,41.74,9,12.85,3.21
409,2020-04-09 04:00:00,36,39.23,9,13.87,2.98
413,2020-04-09 05:00:00,36,34.66,9,14.68,2.64
421,2020-04-09 06:00:00,36,41.37,9,11.63,2.3
422,2020-04-09 07:00:00,36,42.81,9,18.49,2.12
427,2020-04-09 19:00:00,36,33.56,12,23.95,2.18
429,2020-04-09 20:00:00,36,50.98,9,22.74,2.46
432,2020-04-09 21:00:00,36,50.48,9,20.76,2.82
435,2020-04-09 22:00:00,36,50.31,9,23.53,3.1
439,2020-04-09 23:00:00,36,40.17,9,21.83,3.27
443,2020-04-10 00:00:00,36,47.22,9,21.14,3.35
449,2020-04-10 01:00:00,36,50.36,9,28.83,3.36
454,2020-04-10 02:00:00,36,44.19,9,20.22,3.32
456,2020-04-10 03:00:00,36,41.4,9,19.01,3.19
461,2020-04-10 04:00:00,36,49.15,9,18.83,2.93
466,2020-04-10 05:00:00,36,45.23,9,27.14,2.54
470,2020-04-10 06:00:00,36,56.25,9,24.52,2.1
474,2020-04-10 07:00:00,36,63.18,12,23.76,1.78
475,2020-04-10 08:00:00,36,38.27,12,22.66,1.71
476,2020-04-10 21:00:00,36,40.98,12,24.6,1.92
484,2020-04-10 22:00:00,36,41.56,9,16.2,2.27
488,2020-04-10 23:00:00,36,47.08,9,25.69,2.52
