,Timestamp,Sensor-id,Value,closest_static,closest_value,closest_distance
0,2020-04-06 00:00:00,20,45.4,4,14.71,0.53
6,2020-04-06 01:00:00,20,31.69,4,14.2,0.53
12,2020-04-06 02:00:00,20,36.05,4,13.53,0.54
18,2020-04-06 03:00:00,20,44.59,4,16.44,0.59
24,2020-04-06 04:00:00,20,43.91,4,16.62,0.72
30,2020-04-06 05:00:00,20,46.9,4,16.76,1.04
36,2020-04-06 06:00:00,20,26.83,4,11.49,1.67
42,2020-04-06 07:00:00,20,26.45,4,14.8,2.63
48,2020-04-06 08:00:00,20,51.89,11,14.75,3.78
54,2020-04-06 09:00:00,20,45.31,11,17.87,4.86
60,2020-04-06 10:00:00,20,36.79,11,11.15,5.65
66,2020-04-06 11:00:00,20,38.24,11,13.91,6.09
72,2020-04-06 12:00:00,20,41.9,11,16.67,6.19
78,2020-04-06 13:00:00,20,43.59,11,15.57,5.98
84,2020-04-06 14:00:00,20,37.21,11,17.78,5.46
90,2020-04-06 15:00:00,20,45.1,11,14.73,4.64
100,2020-04-06 16:00:00,20,28.9,11,12.5,3.67
106,2020-04-06 17:00:00,20,30.8,4,13.2,2.75
108,2020-04-06 18:00:00,20,44.7,4,16.5,2.02
114,2020-04-06 19:00:00,20,38.6,4,14.93,1.49
121,2020-04-06 20:00:00,20,48.4,4,11.25,1.11
126,2020-04-06 21:00:00,20,42.31,4,11.13,0.84
132,2020-04-06 22:00:00,20,48.2,4,11.29,0.66
138,2020-04-06 23:00:00,20,32.2,4,14.66,0.57
144,2020-04-07 00:00:00,20,32.49,4,16.95,0.54
150,2020-04-07 01:00:00,20,38.8,4,19.89,0.53
156,2020-04-07 02:00:00,20,29.61,4,13.58,0.57
162,2020-04-07 03:00:00,20,44.02,4,13.48,0.7
168,2020-04-07 04:00:00,20,48.4,4,15.54,1.02
174,2020-04-07 05:00:00,20,48.5,4,12.81,1.64
180,2020-04-07 06:00:00,20,44.6,4,19.13,2.59
186,2020-04-07 07:00:00,20,28.4,11,16.93,3.74
192,2020-04-07 08:00:00,20,48.1,11,14.26,4.83
198,2020-04-07 09:00:00,20,33.6,11,13.88,5.64
204,2020-04-07 10:00:00,20,32.92,11,15.79,6.12
210,2020-04-07 11:00:00,20,46.61,11,15.37,6.3
216,2020-04-07 12:00:00,20,22.17,11,16.73,6.25
222,2020-04-07 13:00:00,20,47.9,11,11.76,5.95
228,2020-04-07 14:00:00,20,29.61,11,12.47,5.32
234,2020-04-07 15:00:00,20,41.22,11,15.72,4.36
242,2020-04-07 16:00:00,20,32.55,11,16.61,3.21
248,2020-04-07 17:00:00,20,37.89,4,14.08,2.13
252,2020-04-07 18:00:00,20,37.59,4,15.65,1.32
