,Sensor-id,Timestamp,Long,Lat,Value,Nbrhood
5760,1,2020-04-10 00:00:00,-119.966506,0.187913,36.372,Palace Hills
5761,1,2020-04-10 00:01:00,-119.966506,0.187913,36.372,Palace Hills
5762,1,2020-04-10 00:02:00,-119.966506,0.187913,36.372,Palace Hills
5763,1,2020-04-10 00:03:00,-119.966506,0.187913,36.372,Palace Hills
5764,1,2020-04-10 00:04:00,-119.966506,0.187913,36.372,Palace Hills
5765,1,2020-04-10 00:05:00,-119.966506,0.187913,36.372,Palace Hills
5766,1,2020-04-10 00:06:00,-119.966506,0.187913,36.372,Palace Hills
5767,1,2020-04-10 00:07:00,-119.966506,0.187913,36.372,Palace Hills
5768,1,2020-04-10 00:08:00,-119.966506,0.187913,36.372,Palace Hills
5769,1,2020-04-10 00:09:00,-119.966506,0.187913,36.372,Palace Hills
5770,1,2020-04-10 00:10:00,-119.966506,0.187913,36.372,Palace Hills
5771,1,2020-04-10 00:11:00,-119.966506,0.187913,36.372,Palace Hills
5772,1,2020-04-10 00:12:00,-119.966506,0.187913,36.372,Palace Hills
5773,1,2020-04-10 00:13:00,-119.966506,0.187913,36.372,Palace Hills
5774,1,2020-04-10 00:14:00,-119.966506,0.187913,36.372,Palace Hills
5775,1,2020-04-10 00:15:00,-119.966506,0.187913,36.372,Palace Hills
5776,1,2020-04-10 00:16:00,-119.966506,0.187913,36.372,Palace Hills
5777,1,2020-04-10 00:17:00,-119.966506,0.187913,36.372,Palace Hills
5778,1,2020-04-10 00:18:00,-119.966506,0.187913,36.372,Palace Hills
5779,1,2020-04-10 00:19:00,-119.966506,0.187913,36.372,Palace Hills
5780,1,2020-04-10 00:20:00,-119.966506,0.187913,36.372,Palace Hills
5781,1,2020-04-10 00:21:00,-119.966506,0.187913,36.372,Palace Hills
5782,1,2020-04-10 00:22:00,-119.966506,0.187913,36.372,Palace Hills
5783,1,2020-04-10 00:23:00,-119.966506,0.187913,36.372,Palace Hills
5784,1,2020-04-10 00:24:00,-119.966506,0.187913,36.372,Palace Hills
5785,1,2020-04-10 00:25:00,-119.966506,0.187913,36.372,Palace Hills
5786,1,2020-04-10 00:26:00,-119.966506,0.187913,36.372,Palace Hills
5787,1,2020-04-10 00:27:00,-119.966506,0.187913,36.372,Palace Hills
5788,1,2020-04-10 00:28:00,-119.966506,0.187913,36.372,Palace Hills
5789,1,2020-04-10 00:29:00,-119.966506,0.187913,36.372,Palace Hills
