Sensor-id,Timestamp,Unnamed: 0,Sensor-id,Value,Lat,Long,geometry,index_right,Id,Nbrhood
1,2020-04-06 00:00:00,139573.5,1.0,14.671870833333333,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 01:00:00,140293.5,1.0,14.701169444444446,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 02:00:00,141013.5,1.0,14.489902777777777,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 03:00:00,141733.5,1.0,14.492569444444444,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 04:00:00,142453.5,1.0,14.50457222222222,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 05:00:00,143173.5,1.0,14.52943611111111,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 06:00:00,143893.5,1.0,14.548004166666667,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 07:00:00,144613.5,1.0,14.609475,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 08:00:00,145333.5,1.0,14.629944444444444,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 09:00:00,146053.5,1.0,14.527645833333334,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 10:00:00,146773.5,1.0,14.633698611111113,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 11:00:00,147493.5,1.0,14.711879166666666,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 12:00:00,148213.5,1.0,14.706976388888888,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
1,2020-04-06 13:00:00,148933.5,1.0,14.497045833333333,0.15689,-119.95939999999999,POINT (-119.95939999999999 0.15689),0.0,1.0,Palace Hills
